datetime,ORCE,UvvU,nkot,404a,FLM,STR8,EPIC,NYPR,86KO,SWBA,MTOP,UUSN,FNXS,L4TM,NiKi,z5fa,w1l0,BOS7,MZKU,bfp8,C4B,1985,sk96,NMMN,MXtL,Redr,NRDS,RDCS,NFLA,nic1,Lepa,RU66,LeGA,rico,nand,tzh,Gwc,qpdl,SGE2,poci,jein,RSTE,7kr,JEWS,EWE1,U888,AMBt,Soyt,lpe,Uai
2025-10-09 00:00:00,6480480937,6451217432,5957935662,5808944327,4974263943,4918710863,4577377161,4335839394,3877332334,3377795468,2647483178,1794339156,1584546714,1361622617,1275619637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-10 00:00:00,6710688392,6752848288,6395285401,5109356801,5089247162,5109356801,5072711352,4537533393,3534868874,3798962862,1455345480,1805983286,2729722437,1568161001,1803383398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-12 00:00:00,7044519755,6467618745,5053417714,4982528656,4703741062,4998393046,4997451656,3785873485,2633268782,3681539337,1835412238,911282454,2638735693,1827891706,1677883859,544297186,438512191,35821783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-26 00:00:00,7842552554,7154204298,5487634013,5243383601,5182307694,6068306651,5315160489,4255446020,2323922491,4293645575,446450739,1047866924,3147619067,185684530,4427463487,401927650,529152473,351061164,1802116122,1410839850,713583309,616601128,585871235,372458551,301259888,297729360,222396161,198566055,192857580,139521315,131170948,120752997,116028848,91493792,89153991,76050562,73146200,70140458,65059501,58637210,57407624,56809255,56774369,54573308,48649990,40144320,38394985,37958985,35980883,35975951
